LABELS
#use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#NODE_ID,LABEL

#Examples
#defined a name for an internal node
LOHHMEOH	PRES01F02_bin.65
NNDPHMMH	PRES01F02_bin.66
CCABHCHO	PRES01F02_bin.67
KLJAGLCF	PRES01F02_bin.68
JNKGMLCE	PRES01F02_bin.69
LJDJGCJK	PRES01F02_bin.6
DOFBEKOF	PRES01F02_bin.70
JFCIPEFL	PRES01F02_bin.71
MOHGOEEE	PRES01F02_bin.72
ABACNBAA	PRES01F02_bin.73
GEDGGFKO	PRES01F02_bin.74
MAIHNPKE	PRES01F02_bin.75
LPDDBAOD	PRES01F02_bin.76
HGKLOBFI	PRES01F02_bin.77
EIAPDJGG	PRES01F02_bin.78
PPAOKAOH	PRES01F02_bin.79
NBCLAACJ	PRES01F02_bin.7
EELEDIFN	PRES01F02_bin.80
ABELKEFB	PRES01F02_bin.81
BEPDFMDJ	PRES01F02_bin.82
ILHFFGLA	PRES01F02_bin.83
FJGFBGGM	PRES01F02_bin.84
GDOJJBJO	PRES01F02_bin.85
HPIHFCKN	PRES01F02_bin.86
AKGFHBGN	PRES01F02_bin.87
MPHBGCDC	PRES01F02_bin.88
DJNMMHOD	PRES01F02_bin.89
PKDDDONP	PRES01F02_bin.8
HLCPDBFH	PRES01F02_bin.90
CLLHPGKP	PRES01F02_bin.91
HIHOMEJJ	PRES01F02_bin.92
GDAIMLEI	PRES01F02_bin.93
IJFKCABI	PRES01F02_bin.94
MLFKNNPC	PRES01F02_bin.95
DLBCPJEK	PRES01F02_bin.96
HCNNFONO	PRES01F02_bin.97
EHMKOJKF	PRES01F02_bin.98
BDKNINOH	PRES01F02_bin.99
DACCNDML	PRES01F02_bin.9
GEAEBOIA	PRES01F07_bin.100
EEHGEAND	PRES01F07_bin.101
JJPEAPEH	PRES01F07_bin.102
LNEPGFGO	PRES01F07_bin.103
CDMHJBIJ	PRES01F07_bin.104
BHIMMPLC	PRES01F07_bin.105
EFDEKONN	PRES01F07_bin.106
DOOHCGEN	PRES01F07_bin.107
OBCEJIIC	PRES01F07_bin.108
KBEKFNFA	PRES01F07_bin.109
NEGNMCAF	PRES01F07_bin.10
BDMKEJNN	PRES01F07_bin.110
FPFIHFFI	PRES01F07_bin.111
CMIMABNP	PRES01F07_bin.112
NAFPEFHE	PRES01F07_bin.113
KAEFBINO	PRES01F07_bin.114
EBJILKCE	PRES01F07_bin.115
LLCBNNKO	PRES01F07_bin.116
PGAPPHAC	PRES01F07_bin.117
IBOFHLIM	PRES01F07_bin.118
GELEBICG	PRES01F07_bin.119
PDAPAEAA	PRES01F07_bin.11
BIMAJEJE	PRES01F07_bin.120
MAKCEAMF	PRES01F07_bin.121
DNJBDHKF	PRES01F07_bin.122
BKDHDBBG	PRES01F07_bin.123
CONJBJLB	PRES01F07_bin.124
